time,posture,XY,Y,dyno,vm,dyno_vm,ankle
2021-06-07 15:30:05.000000000,4.0,96.59254832970359,96.28171106259771,0.0,0.0,0.0,
2021-06-07 15:30:06.000001389,4.0,96.62168973024416,96.30929585870867,0.0,0.0,0.0,
2021-06-07 15:30:07.000002779,4.0,96.65892888389948,96.34453616645358,0.0,0.0,0.0,
2021-06-07 15:30:08.000004168,4.0,96.70059364852439,96.3842219606392,0.0,0.0,0.0,
2021-06-07 15:30:09.000005558,4.0,96.74191109452154,96.42527178383777,0.0,0.0,0.0,
2021-06-07 15:30:10.000006948,4.0,96.81114715407797,96.4962400197209,0.0,0.0,0.0,
2021-06-07 15:30:11.000008337,4.0,96.94312415640837,96.6268884989623,0.0,0.0,0.0,
2021-06-07 15:30:12.000009727,4.0,97.07726045311192,96.75257569343918,0.0,0.0,0.0,
2021-06-07 15:30:13.000011117,4.0,97.12218944722495,96.77561716427935,0.0,0.0,0.0,
2021-06-07 15:30:14.000012506,4.0,96.65683239162166,96.25362258599218,0.0,0.0,0.0,
2021-06-07 15:30:15.000013896,4.0,95.12106282051931,94.53876616546296,0.0,0.0,0.0,
2021-06-07 15:30:16.000015286,3.0,93.23298843350051,92.30264972751507,0.0,0.0,0.0,
2021-06-07 15:30:17.000016675,3.0,92.2634566152313,91.20145354116859,0.0,0.0,0.0,
2021-06-07 15:30:18.000018065,3.0,92.57970940650728,91.85869934614124,0.0,0.0,0.0,
2021-06-07 15:30:19.000019455,4.0,94.0596278012657,93.60264899935628,0.0,0.0,0.0,
2021-06-07 15:30:20.000020844,3.0,95.76606037324491,95.06413088828062,0.0,0.0,0.0,
2021-06-07 15:30:21.000022234,3.0,96.97345669014243,95.45195971579147,0.0,0.0,0.0,
2021-06-07 15:30:22.000023624,3.0,97.69208472796524,95.34625792136393,0.0,0.0,0.0,
2021-06-07 15:30:23.000025013,3.0,97.87852735140734,95.59456405172305,0.0,0.0,0.0,
2021-06-07 15:30:24.000026403,3.0,97.48452172970619,96.08165032859007,0.0,0.0,0.0,
2021-06-07 15:30:25.000027793,4.0,96.83862476815044,96.14914882081321,0.0,0.0,0.0,
2021-06-07 15:30:26.000029182,4.0,96.32469953100788,95.83225412940064,0.0,0.0,0.0,
2021-06-07 15:30:27.000030572,4.0,96.18489445353634,95.61881388658615,0.0,0.0,0.0,
2021-06-07 15:30:28.000031962,4.0,96.33135750826388,95.66636300411099,0.0,0.0,0.0,
2021-06-07 15:30:29.000033351,4.0,96.44089538170304,95.79121568881189,0.0,0.0,0.0,
2021-06-07 15:30:30.000034741,4.0,96.4124184938831,95.83066346720184,0.0,0.0,0.0,
2021-06-07 15:30:31.000036131,4.0,96.34442874506084,95.79590110802148,0.0,0.0,0.0,
2021-06-07 15:30:32.000037520,4.0,96.30703412352403,95.75026586934518,0.0,0.0,0.0,
2021-06-07 15:30:33.000038910,4.0,96.29840429208095,95.72590504260171,0.0,0.0,0.0,
2021-06-07 15:30:34.000040300,4.0,96.29898094548528,95.72459129739796,0.0,0.0,0.0,
2021-06-07 15:30:35.000041689,4.0,96.30029023509911,95.73590987476527,0.0,0.0,0.0,
2021-06-07 15:30:36.000043079,4.0,96.30125740682655,95.74880324247447,0.0,0.0,0.0,
2021-06-07 15:30:37.000044469,4.0,96.32745483508398,95.78244682224395,0.0,0.0,0.0,
2021-06-07 15:30:38.000045858,4.0,96.42446393792007,95.88326185349472,0.0,0.0,0.0,
2021-06-07 15:30:39.000047248,4.0,96.51800704768125,95.98030843799677,0.0,0.0,0.0,
2021-06-07 15:30:40.000048638,4.0,96.30782342048579,95.78347883677291,0.0,0.0,0.0,
2021-06-07 15:30:41.000050027,4.0,95.6175707649826,95.118532121752,0.0,0.0,0.0,
2021-06-07 15:30:42.000051417,4.0,95.05055624315386,94.56192831315632,0.0,0.0,0.0,
2021-06-07 15:30:43.000052807,4.0,95.43698390052347,94.939543774359,0.0,0.0,0.0,
2021-06-07 15:30:44.000054196,4.0,96.39604246006994,95.89482254686715,0.0,0.0,0.0,
2021-06-07 15:30:45.000055586,4.0,96.77862930773269,96.30213186811758,0.0,0.0,0.0,
2021-06-07 15:30:46.000056976,4.0,96.36941226475378,95.9340486853714,0.0,0.0,0.0,
2021-06-07 15:30:47.000058365,4.0,95.89464498253422,95.47739417031273,0.0,0.0,0.0,
2021-06-07 15:30:48.000059755,4.0,95.82978076036233,95.40276031007396,0.0,0.0,0.0,
2021-06-07 15:30:49.000061145,4.0,96.01505733654868,95.570525393814,0.0,0.0,0.0,
2021-06-07 15:30:50.000062534,4.0,96.13029031413097,95.67608219972925,0.0,0.0,0.0,
2021-06-07 15:30:51.000063924,4.0,96.09020517052541,95.63863988900646,0.0,0.0,0.0,
2021-06-07 15:30:52.000065314,4.0,95.99701358173824,95.55629112997867,0.0,0.0,0.0,
2021-06-07 15:30:53.000066703,4.0,95.98665475692064,95.55367914928186,0.0,0.0,0.0,
2021-06-07 15:30:54.000068093,4.0,96.1181235756202,95.67824810817241,0.0,0.0,0.0,
2021-06-07 15:30:55.000069483,4.0,96.30800081662723,95.84859873719356,0.0,0.0,0.0,
2021-06-07 15:30:56.000070872,4.0,96.4232057745412,95.94660483821481,0.0,0.0,0.0,
2021-06-07 15:30:57.000072262,4.0,96.42465751223408,95.94339925051902,0.0,0.0,0.0,
2021-06-07 15:30:58.000073652,4.0,96.37698193992114,95.90140434030124,0.0,0.0,0.0,
2021-06-07 15:30:59.000075041,4.0,96.35001997764387,95.88510900029047,0.0,0.0,0.0,
